uid,created_date,survival_time,country,have_services,log_score,label
314,2022-03-17,303.0,US,0,-100652.65205617686,scam
315,2022-08-10,150.0,US,0,-5879.034919654398,scam
316,2022-07-11,191.0,HK,0,-16551.810345257974,scam
317,2022-07-07,191.0,US,0,-5879.034919654398,scam
318,2022-06-09,219.0,SE,0,-78.30685281944005,scam
319,2022-11-02,66.0,US,0,-464.31112054588607,scam
320,2022-10-13,86.0,-,0,-199833.49873295912,scam
321,2022-09-07,129.0,US,0,-173.00956741322128,scam
322,2022-07-20,171.0,-,0,-199833.49873295912,scam
323,2022-05-26,237.0,US,0,-20.208240530771945,scam
324,2022-04-29,263.0,US,0,-199833.49873295912,scam
325,2022-06-27,201.0,-,1,-199833.49873295912,scam
326,2022-07-11,191.0,US,1,-5879.034919654398,scam
327,2021-07-06,561.0,US,0,-350.4782114229509,scam
328,2022-08-17,154.0,US,0,-199833.49873295912,scam
329,2021-10-28,436.0,CN,0,-257.7373098110951,scam
330,2022-10-07,92.0,US,0,-5879.034919654398,scam
331,2022-09-23,117.0,HK,0,-221.73730981109512,scam
332,2022-05-05,247.0,CA,0,-199833.49873295912,scam
333,2022-09-13,123.0,CN,0,-261.6721238312104,scam
334,2022-06-07,221.0,-,0,-199833.49873295912,scam
335,2021-06-03,594.0,UA,0,-83.36094267038474,scam
336,2022-08-31,140.0,GB,1,-8736.17105438239,scam
337,2015-03-30,2847.0,GB,0,-16921.43165549624,scam
338,2022-09-14,122.0,US,0,-6607.894054526099,scam
339,2000-07-06,8230.0,PL,0,-105.30685281944004,scam
340,2000-07-31,8195.0,US,0,-8640.004267726446,scam
341,2019-05-28,1320.0,US,0,-199833.49873295912,scam
342,2022-11-01,74.0,US,0,-3753.386615781621,scam
343,,,RU,0,-24.6677954898248,scam
344,2022-06-16,215.0,US,0,-199833.49873295912,scam
345,2022-10-13,97.0,US,0,-199833.49873295912,scam
346,2022-09-14,126.0,US,0,-5879.034919654398,scam
347,2021-12-13,401.0,US,1,-199833.49873295912,scam
348,2022-03-09,315.0,US,0,-5879.034919654398,scam
349,2010-04-08,4667.0,US,0,-199833.49873295912,scam
350,2021-10-18,457.0,RU,0,-93.92055845832016,scam
351,2022-09-14,122.0,US,0,-199833.49873295912,scam
352,2021-05-07,621.0,DE,0,-300.3232461977317,scam
353,2022-08-23,147.0,US,0,-100652.65205617686,scam
354,2022-05-24,228.0,-,1,-199833.49873295912,scam
355,2022-11-15,64.0,US,0,-199833.49873295912,scam
356,2021-12-16,398.0,US,1,-34411.32324619773,scam
357,2021-12-20,394.0,US,0,-6607.894054526099,scam
358,2022-01-06,377.0,CN,0,-221.73730981109512,scam
359,2021-10-22,452.0,US,0,-5879.034919654398,scam
360,2022-06-02,226.0,US,0,-199833.49873295912,scam
361,2022-11-18,57.0,FI,0,-6936.950143992751,scam
362,2022-01-07,376.0,CA,0,-199833.49873295912,scam
363,2022-09-23,117.0,HK,0,-221.73730981109512,scam
364,2022-05-30,233.0,CN,0,-257.7373098110951,scam
365,2022-07-24,178.0,DE,0,-62.21581036608174,scam
366,2022-07-29,162.0,-,0,-199833.49873295912,scam
367,2022-10-26,80.0,HK,0,-1785.1978816246228,scam
368,2022-03-17,303.0,DE,0,-4.90138771133189,scam
369,2019-07-15,1283.0,SG,1,-16921.43165549624,scam
370,2022-06-11,220.0,-,0,-199833.49873295912,scam
371,2021-04-03,655.0,US,1,-5879.034919654398,scam
372,2022-05-18,244.0,US,0,-199833.49873295912,scam
373,2022-09-30,106.0,SC,0,-16.435050642538464,scam
374,2022-07-15,187.0,US,1,-3753.386615781621,scam
375,2022-08-11,149.0,CN,1,-261.6721238312104,scam
